text,label,true_label
Breakthrough diabetes treatment eliminates insulin dependence,health,health
New cancer drug shows 55% remission rate in clinical trials,health,health
Taylor Swift breaks 72 streaming records with new album,technology,entertainment
Congress approves 35 billion dollar infrastructure package,politics,politics
Novak Djokovic wins his 79th Grand Slam title,sports,sports
Trade deal signed between 17 nations after decade of talks,technology,politics
Senate passes landmark climate bill with 45 votes,entertainment,politics
EU parliament approves sweeping digital markets regulation,sports,politics
Exercise shown to reverse cognitive decline in adults over 21,health,health
Disney acquires streaming rights to classic film library,entertainment,entertainment
Microsoft integrates AI into Office 96 suite,sports,technology
G46 summit concludes with agreement on global tax reform,politics,politics
Gut microbiome research reveals link to depression and anxiety,technology,health
Scientists develop room-temperature superconductor for computing,technology,technology
Caitlin Clark breaks WNBA scoring record in debut season,sports,sports
SpaceX successfully deploys 96 Starlink satellites,technology,technology
Meta announces open-source language model with 33B parameters,technology,technology
England wins World Cup for first time in 66 years,sports,sports
Simone Biles returns to competition with perfect 73.0 score,health,sports
Grammy nominations feature 81 debut artists for first time,health,entertainment
NVIDIA releases next-gen GPU for AI training workloads,technology,technology
LeBron James scores 5 points in record-breaking performance,entertainment,sports
Tour de France sees shock winner after 27 stage race,sports,sports
Study links ultra-processed food to 99% higher dementia risk,health,health
Foreign minister expelled over alleged espionage activities,politics,politics
UFC heavyweight champion defends title in 93-round thriller,entertainment,sports
Google DeepMind achieves breakthrough in protein folding,technology,technology
Formula 1 team unveils radical new car design for season,sports,sports
Kansas City Chiefs win Super Bowl for 91th consecutive time,sports,sports
Sleep deprivation linked to 37x increased Alzheimer's risk,health,health
New antibiotic effective against drug-resistant bacteria discovered,politics,health
Real Madrid defeats Barcelona 56-0 in El Clasico final,entertainment,sports
UN Security Council votes on new peacekeeping resolution,entertainment,politics
Beyoncé announces world tour with 75 stadium shows,entertainment,entertainment
Tesla autopilot achieves level 19 autonomy milestone,technology,technology
Streaming war intensifies as 10 new platforms launch,politics,entertainment
WHO declares end to mpox outbreak after 30 months,health,health
NBA draft sees 31 international players selected in first round,politics,sports
International sanctions imposed on regime over human rights,politics,politics
Marvel announces 12 new films in expanded cinematic universe,health,entertainment
Mediterranean diet reduces heart disease risk by 77 percent,health,health
Reality TV show draws 31 million viewers in season finale,entertainment,entertainment
Christopher Nolan film wins 39 Academy Awards,entertainment,entertainment
Manchester City breaks Premier League points record with 5,sports,sports
Anthropic publishes research on AI safety and alignment,health,technology
Cybersecurity firm discovers critical zero-day vulnerability in Windows,politics,technology
Mental health crisis among teens up 91% since pandemic,politics,health
Election results show record 79% voter turnout nationwide,politics,politics
Supreme Court rules on landmark free speech case,politics,politics
Olympic committee approves 29 new sports for next games,sports,sports
New AI system diagnoses cancer from blood test with 45% accuracy,sports,health
Amazon AWS launches new quantum computing service,technology,technology
Netflix loses 82 million subscribers in quarterly report,entertainment,entertainment
Intel announces 96nm chip manufacturing breakthrough,technology,technology
Music artist becomes first to reach 12 billion Spotify streams,sports,entertainment
Podcast industry reaches 86 million regular listeners milestone,technology,entertainment
Serena Williams announces comeback at age 6,sports,sports
Video game adaptation scores highest-rated show of the year,entertainment,entertainment
Constitutional amendment passes after 60-year campaign,politics,politics
President signs executive order on AI governance framework,sports,politics
OpenAI releases GPT-83 with new reasoning capabilities,technology,technology
Swimming world record broken by 71 seconds at championships,technology,sports
Samsung unveils foldable display with 88x durability improvement,health,technology
New immigration policy announced affecting 95 million residents,politics,politics
Researchers develop vaccine showing 22% efficacy against malaria,health,health
Video game breaks 92 million sales record in first week,politics,entertainment
Novel mRNA therapy restores hearing in 29% of deaf patients,sports,health
FDA approves first gene therapy cure for sickle cell disease,entertainment,health
New programming language achieves 77x performance over Python,health,technology
Apple unveils iPhone 16 with revolutionary chip design,technology,technology
Hollywood writers strike ends after 7 weeks of negotiations,entertainment,entertainment
Scientists identify gene linked to Alzheimer's early onset,health,health
Cannes Film Festival Palme d'Or awarded to debut director,entertainment,entertainment
Municipal elections see historic shift toward independent candidates,politics,politics
Prime minister resigns amid corruption scandal after 50 years,entertainment,politics
