text,label
Apple unveils new MacBook Pro with M3 chip featuring unprecedented performance gains,technology
Scientists develop breakthrough mRNA vaccine showing 94% efficacy against cancer,health
Manchester City defeats Arsenal 3-1 to clinch Premier League title,sports
Taylor Swift breaks Spotify streaming records with her new album release,entertainment
Congress passes landmark climate legislation with bipartisan support,politics
Google DeepMind releases Gemini Ultra outperforming GPT-4 on all benchmarks,technology
Doctors discover simple lifestyle changes can reverse Type 2 diabetes,health
LeBron James announces retirement after 22 seasons in the NBA,sports
Oscar nominations announced with several surprise snubs and newcomers,entertainment
Senate committee approves new immigration reform bill after months of debate,politics
Microsoft acquires OpenAI in landmark $100 billion deal reshaping the AI industry,technology
New study links ultra-processed foods to increased risk of depression and anxiety,health
Novak Djokovic wins his 25th Grand Slam title at the Australian Open,sports
Netflix cancels beloved sci-fi series after three critically acclaimed seasons,entertainment
European Parliament votes to ban single-use plastics by 2025,politics
NVIDIA releases next-generation GPU delivering 10x performance for AI training,technology
Researchers identify gene mutation responsible for familial Alzheimer's disease,health
Lionel Messi scores hat-trick as Inter Miami wins the MLS Cup,sports
Grammy Awards ceremony disrupted by surprise performance from Beyoncé,entertainment
Supreme Court rules on landmark digital privacy case affecting millions,politics
Quantum computing startup achieves error-free operation for the first time,technology
WHO declares end to COVID-19 as global health emergency after four years,health
Serena Williams comeback bid falls short at Wimbledon semi-finals,sports
Christopher Nolan's new film breaks box office records in opening weekend,entertainment
UN Security Council passes resolution on international AI governance framework,politics
Tesla's humanoid robot Optimus begins working autonomously on assembly line,technology
Harvard study reveals meditation reduces cortisol levels by up to 40 percent,health
Caitlin Clark sets new WNBA scoring record in dominant home debut,sports
Cannes Film Festival awards Palme d'Or to debut director from South Korea,entertainment
President signs executive order mandating federal agencies to adopt renewable energy,politics
OpenAI launches GPT-5 with multimodal reasoning capabilities exceeding human level,technology
New antibiotic discovered in Amazon rainforest effective against drug-resistant bacteria,health
Formula 1 announces Las Vegas Grand Prix circuit redesign for faster racing,sports
Disney announces merger with Universal creating entertainment behemoth worth 300 billion,entertainment
G7 leaders agree on coordinated response to global economic slowdown,politics
SpaceX successfully lands first crewed mission on Mars surface,technology
Clinical trial shows intermittent fasting doubles longevity in animal models,health
Kansas City Chiefs win Super Bowl LVIII defeating the San Francisco 49ers,sports
Martin Scorsese wins lifetime achievement award at the BAFTAs ceremony,entertainment
NATO expands membership as three new nations ratify accession protocols,politics
"Barcelona beats Real Madrid 3-0 in El Clasico, Messi scores twice",technology
"New quantum computing breakthrough achieves 1000-qubit milestone at MIT",entertainment
"Congress votes to impeach cabinet secretary over financial misconduct",sports
"Actor wins Academy Award for Best Actor in psychological thriller role",politics
"Doctors warn of new antibiotic-resistant superbug spreading in hospitals",sports
"Apple releases iOS 19 with AI-powered features and redesigned interface",health
"World Cup final draws record 2.5 billion viewers worldwide",technology
"Senate confirms new Supreme Court Justice after contentious hearings",entertainment
"Scientists clone endangered species for the first time using CRISPR technology",sports
"Adele announces world tour with 80 concerts across five continents",politics
"Researchers create room-temperature superconductor revolutionizing energy transmission",health
"Olympics opening ceremony in Paris draws 4 million spectators along the Seine",technology
"Prime Minister resigns amid corruption scandal involving foreign donations",sports
"New drug trial shows 80 percent reduction in Parkinson's disease progression",entertainment
"Streaming wars intensify as Apple TV+ surpasses Disney+ in subscriber count",politics
"Venus Williams inducted into Tennis Hall of Fame at emotional ceremony",health
"Breakthrough battery technology enables electric vehicles to charge in under 5 minutes",sports
"Director announces sequel to highest-grossing animated film of all time",technology
"International treaty signed to protect 30 percent of world's oceans by 2030",health
"NBA introduces in-season tournament with million-dollar prizes for players",politics
